+------------+--------+-------------+----------+
| tournament | player | prize_money | position |
|        215 |     86 |        NULL |       27 |
|        215 |     89 |        NULL |       54 |
|        215 |     90 |        NULL |       41 |
|        215 |     91 |        NULL |       57 |
|        215 |     92 |        NULL |       47 |
|        215 |     93 |        NULL |       33 |
|        215 |     94 |        NULL |       34 |
|        215 |     98 |        NULL |       24 |
|        215 |    101 |        NULL |       42 |
|        215 |    109 |        NULL |       62 |
|        215 |    113 |        NULL |       16 |
|        215 |    122 |        NULL |       28 |
|        215 |    124 |        NULL |       23 |
|        215 |    128 |        NULL |       53 |
|        215 |    129 |        NULL |       13 |
|        215 |    134 |        NULL |       38 |
|        215 |    136 |        NULL |       56 |
|        215 |    141 |        NULL |       35 |
|        215 |    198 |        NULL |       14 |
|        215 |    200 |        NULL |       48 |
|        215 |    203 |        NULL |       29 |
|        215 |    206 |        NULL |       52 |
|        215 |    218 |        NULL |       43 |
|        215 |    220 |        NULL |       49 |
|        215 |    223 |        NULL |       45 |
|        215 |    259 |        NULL |       17 |
|        215 |    339 |        NULL |       60 |
|        215 |    478 |        NULL |       55 |
|        215 |    549 |        NULL |       44 |
|        215 |   1336 |        NULL |       40 |
|        215 |   1419 |        NULL |       63 |
|        219 |      1 |        NULL |        2 |
|        219 |      4 |        NULL |       25 |
|        219 |      6 |        NULL |       27 |
|        219 |     12 |        NULL |       26 |
|        219 |     13 |        NULL |        4 |
|        219 |     14 |        NULL |       21 |
|        219 |     16 |        NULL |       22 |
|        219 |     19 |        NULL |       23 |
|        219 |     22 |        NULL |       10 |
|        219 |     25 |        NULL |       16 |
|        219 |     28 |        NULL |        5 |
|        219 |     29 |        NULL |        1 |
|        219 |     31 |        NULL |       19 |
|        219 |     32 |        NULL |       30 |
|        219 |     33 |        NULL |        6 |
|        219 |     35 |        NULL |       17 |
|        219 |     36 |        NULL |       13 |
|        219 |     44 |        NULL |       15 |
|        219 |     57 |        NULL |       14 |
|        219 |     65 |        NULL |       31 |
|        219 |     74 |        NULL |        8 |
|        219 |     82 |        NULL |        3 |
|        219 |     93 |        NULL |       28 |
|        219 |     98 |        NULL |       18 |
|        219 |    106 |        NULL |        7 |
|        219 |    113 |        NULL |       11 |
|        219 |    122 |        NULL |       32 |
|        219 |    129 |        NULL |        9 |
|        219 |    134 |        NULL |       29 |
|        219 |    198 |        NULL |       20 |
|        219 |    220 |        NULL |       24 |
|        242 |      8 |        NULL |       22 |
|        242 |      9 |        NULL |       23 |
|        242 |     11 |        NULL |       11 |
|        242 |     16 |        NULL |        1 |
|        242 |     30 |        NULL |       10 |
